"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","hashtag","url"
"1","@TalbertSwan @BarackObama Bishop of what?lies? How can you know truth from lies when you hang with liars, leakers a<e2><80><a6> https://t.co/1n251CDleS",FALSE,0,"TalbertSwan",2020-12-01 16:29:09,TRUE,"1333616304226529281","1333810375855370246","16873455","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chiclettesucep",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/chiclettesucep/status/1333810375855370246"
"2","@BethanySophiea Thank you for the follow! Happy to follow you back<f0><9f><87><ba><f0><9f><87><b8><f0><9f><87><ba><f0><9f><87><b8>Also...I do NOT unfollow! <f0><9f><98><81> #Trump2020<e2><80><a6> https://t.co/1s0KTUMGTq",FALSE,0,"BethanySophiea",2020-12-01 16:27:10,TRUE,NA,"1333809877269966848","508998025","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReimTopher",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/ReimTopher/status/1333809877269966848"
"3","@Bellyboosmom Thank you for the follow! Happy to follow you back<f0><9f><87><ba><f0><9f><87><b8><f0><9f><87><ba><f0><9f><87><b8>Also...I do NOT unfollow! <f0><9f><98><81> #Trump2020<e2><80><a6> https://t.co/rVSYUAPrKj",FALSE,0,"Bellyboosmom",2020-12-01 16:27:01,TRUE,NA,"1333809841375043585","26643629","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReimTopher",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/ReimTopher/status/1333809841375043585"
"4","@dirtnoroads @KamalaHarris @JoeBiden Totally with you!! Once the KRACKEN has been unleashed and the Obama-Gate file<e2><80><a6> https://t.co/0YuMoGde63",FALSE,0,"dirtnoroads",2020-12-01 16:26:47,TRUE,"1333788431651008516","1333809780901564416","60347330","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshuaOstromSr1",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/JoshuaOstromSr1/status/1333809780901564416"
"5","@etalkCTV Obama regrets not weaponizing more Gov't agencies against the citizens. #Trump2020 has exposed<e2><80><a6> https://t.co/kFTQBH8uqL",FALSE,0,"etalkCTV",2020-12-01 16:26:35,TRUE,"1333787999939620864","1333809730620448770","26820715","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bledsoe_wes",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/bledsoe_wes/status/1333809730620448770"
"6","@realDonaldTrump DEMONRATS ALSO STOLE GEORGIA AND THE REPUBLICAN COWARDS LET THEM SO WERE WRITING IN TRUMP FOR THE<e2><80><a6> https://t.co/m8j6rrSawt",FALSE,0,"realDonaldTrump",2020-12-01 16:26:10,TRUE,"1333772740483026944","1333809627532812288","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeremiahMurdo12",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/JeremiahMurdo12/status/1333809627532812288"
"7","I am not exactly happy with the results of the election but I will still respect the person in office. They are sti<e2><80><a6> https://t.co/XSwg60sPDE",FALSE,0,NA,2020-12-01 16:26:03,TRUE,NA,"1333809595337338883",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crap_all",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/crap_all/status/1333809595337338883"
"8","@KimberlyFitch5 @journalsentinel For JS to label this as Last Ditched Effort is biased.  FACT  #BidenCheated<e2><80><a6> https://t.co/72bPUcY5lD",FALSE,0,"KimberlyFitch5",2020-12-01 16:25:59,TRUE,"1333808709164797953","1333809580346896384","872842575383859202","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JK83801873",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/JK83801873/status/1333809580346896384"
"9","Unbelievable! Georgia's Raffensperger Suddenly Concerned About ""Illegal"" Out Of State Votes | Zero Hedge<e2><80><a6> https://t.co/IbKLWvXDgs",FALSE,0,NA,2020-12-01 16:25:06,TRUE,NA,"1333809357667098629",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nanashton",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/nanashton/status/1333809357667098629"
"10","Which equals feeding 1.5 billion people @JoeBiden @realDonaldTrump
@FeedingAmerica #Trump2020
#cnn @CNN<e2><80><a6> https://t.co/KqgdG6ZYSR",FALSE,0,NA,2020-12-01 16:23:39,TRUE,NA,"1333808994478039046",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","liquidreality65",0,FALSE,FALSE,NA,NA,"#trump2020","https://twitter.com/liquidreality65/status/1333808994478039046"
